ID,Semaine,Province,Pluviometrie_mm,Temperature_C,NDVI,Humidite_pct,Densite_Population,Couverture_Vaccinale_pct,Tests_Realises,Distance_Centre_Sante_km,Reservoirs_Animaux,Mobilite_Humaine,Cas_Confirmes,Saison,Population_Risque,Taux_Positivite_pct
OBS_00001,1,Mongala,206,24.4,0.48,64,39,31.8,150,22,1,4,29,Pluie,3478,19.33
OBS_00002,2,Kinshasa,56,23.7,0.474,74,107,24.9,300,5,1,6,42,Seche,3713,14.0
OBS_00003,3,Kinshasa,59,25.2,0.333,62,140,53.9,310,16,0,8,20,Seche,4833,6.45
OBS_00004,4,Mai-Ndombe,396,24.1,0.354,68,97,25.9,210,4,0,10,82,Pluie,3777,39.05
OBS_00005,5,Kasaï,127,19.8,0.303,61,86,30.3,260,24,1,6,24,Pluie,9396,9.23
OBS_00006,6,Tshuapa,400,20.6,0.721,65,50,25.4,340,11,0,6,241,Pluie,9843,70.88
OBS_00007,7,Kongo Central,181,26.6,0.779,79,22,24.1,310,2,0,8,174,Pluie,1956,56.13
OBS_00008,8,Kwango,356,22.9,0.607,61,40,35.0,300,21,0,5,144,Pluie,9467,48.0
OBS_00009,9,Tshopo,252,30.3,0.527,79,222,26.9,240,1,0,3,178,Pluie,8453,74.17
OBS_00010,10,Kwilu,27,22.1,0.608,69,27,41.4,190,5,1,5,16,Seche,1116,8.42
OBS_00011,11,Kinshasa,159,25.5,0.601,68,88,40.8,320,11,0,5,70,Pluie,3623,21.88
OBS_00012,12,Équateur,127,28.3,0.78,75,121,23.1,280,59,1,4,30,Pluie,3896,10.71
OBS_00013,13,Tanganyika,400,27.2,0.577,50,66,30.6,250,5,1,4,203,Pluie,5862,81.2
OBS_00014,14,Sud-Kivu,151,25.4,0.46,74,14,43.9,180,6,0,6,21,Pluie,7828,11.67
OBS_00015,15,Kasaï,12,26.5,0.607,77,109,41.2,290,2,1,4,30,Seche,9142,10.34
OBS_00016,16,Tshopo,41,33.5,0.344,69,150,28.6,220,16,1,4,36,Seche,2519,16.36
OBS_00017,17,Nord-Kivu,58,21.0,0.312,87,122,58.7,450,20,0,6,15,Seche,6349,3.33
OBS_00018,18,Sud-Kivu,153,21.7,0.751,72,18,38.8,370,32,0,5,66,Pluie,2136,17.84
OBS_00019,19,Bas-Uele,20,27.3,0.717,73,58,30.5,130,25,1,4,11,Seche,6160,8.46
OBS_00020,20,Sud-Ubangi,172,18.0,0.734,95,33,44.2,280,1,0,5,40,Pluie,2238,14.29
OBS_00021,21,Sankuru,207,21.5,0.399,80,61,52.7,340,15,1,3,35,Pluie,2820,10.29
OBS_00022,22,Haut-Lomami,81,19.1,0.402,85,42,15.0,230,8,0,4,43,Seche,5904,18.7
OBS_00023,23,Kasaï,170,31.8,0.503,69,59,70.0,170,2,0,5,30,Pluie,4831,17.65
OBS_00024,24,Tshuapa,61,23.8,0.297,71,117,24.6,450,14,0,10,78,Seche,2494,17.33
OBS_00025,25,Nord-Ubangi,251,19.5,0.514,65,33,19.1,290,18,0,9,106,Pluie,5084,36.55
OBS_00026,26,Haut-Katanga,88,26.8,0.641,81,94,26.6,270,47,0,7,29,Seche,6963,10.74
OBS_00027,27,Tshopo,161,23.6,0.465,70,10,39.0,290,8,1,3,35,Pluie,1021,12.07
OBS_00028,28,Kongo Central,101,30.7,0.411,78,24,70.6,290,15,0,5,23,Pluie,9516,7.93
OBS_00029,29,Sankuru,95,25.4,0.549,70,50,43.0,260,5,0,4,18,Seche,9574,6.92
OBS_00030,30,Sankuru,272,24.6,0.686,85,72,42.1,240,3,0,5,97,Pluie,7476,40.42
OBS_00031,31,Kasaï,78,21.9,0.238,64,170,21.4,200,50,0,3,10,Seche,1286,5.0
OBS_00032,32,Équateur,221,22.6,0.243,64,53,42.6,190,3,1,1,30,Pluie,6900,15.79
OBS_00033,33,Lualaba,305,22.9,0.634,67,63,24.1,260,6,1,5,143,Pluie,5124,55.0
OBS_00034,34,Sankuru,44,18.0,0.338,87,345,68.4,440,12,0,5,16,Seche,4406,3.64
OBS_00035,35,Mai-Ndombe,158,28.1,0.745,59,464,21.6,100,17,1,3,71,Pluie,2066,71.0
OBS_00036,36,Kasaï-Oriental,179,26.7,0.427,75,82,67.2,210,20,0,5,11,Pluie,3236,5.24
OBS_00037,37,Sankuru,364,30.0,0.426,72,322,11.2,360,45,0,7,307,Pluie,3875,85.28
OBS_00038,38,Sankuru,156,24.5,0.485,62,85,31.8,310,1,1,4,65,Pluie,8627,20.97
OBS_00039,39,Haut-Katanga,17,24.1,0.204,68,130,17.0,280,5,1,8,27,Seche,7106,9.64
OBS_00040,40,Mongala,17,24.8,0.513,57,164,33.2,180,19,0,7,13,Seche,5380,7.22
OBS_00041,41,Haut-Lomami,96,20.7,0.677,55,121,16.1,200,30,1,6,35,Seche,6515,17.5
OBS_00042,42,Kongo Central,95,26.8,0.512,52,67,25.4,400,30,0,3,105,Seche,2851,26.25
OBS_00043,43,Tshopo,138,18.0,0.656,78,126,21.5,380,4,0,7,179,Pluie,2458,47.11
OBS_00044,44,Sud-Ubangi,23,20.7,0.193,81,247,55.2,250,26,0,5,10,Seche,7952,4.0
OBS_00045,45,Maniema,400,26.6,0.463,56,109,10.4,320,28,0,8,241,Pluie,8850,75.31
OBS_00046,46,Mongala,187,21.8,0.733,79,17,16.9,330,40,1,7,103,Pluie,5255,31.21
OBS_00047,47,Lomami,114,29.4,0.126,82,387,28.5,240,15,0,6,95,Pluie,6229,39.58
OBS_00048,48,Ituri,400,22.4,0.245,75,167,25.4,360,26,1,4,206,Pluie,3254,57.22
OBS_00049,49,Kinshasa,136,21.2,0.441,95,51,30.4,210,8,0,4,35,Pluie,7784,16.67
OBS_00050,50,Kasaï,233,29.6,0.366,67,137,8.1,380,3,0,5,225,Pluie,5400,59.21
OBS_00051,51,Kinshasa,42,22.7,0.266,64,171,28.0,230,9,0,3,19,Seche,4694,8.26
OBS_00052,52,Bas-Uele,44,28.1,0.476,63,92,31.1,240,13,1,7,18,Seche,2696,7.5
OBS_00053,53,Ituri,135,25.5,0.423,67,72,18.0,320,7,0,5,88,Pluie,1469,27.5
OBS_00054,54,Kasaï,30,30.5,0.639,81,178,27.7,280,13,0,9,65,Seche,1655,23.21
OBS_00055,55,Sankuru,62,29.2,0.678,88,172,20.3,210,5,0,5,45,Seche,6008,21.43
OBS_00056,56,Nord-Ubangi,100,24.5,0.552,78,203,26.5,350,6,0,4,85,Seche,2348,24.29
OBS_00057,57,Bas-Uele,74,18.0,0.632,54,18,18.3,330,1,1,5,42,Seche,7505,12.73
OBS_00058,58,Maniema,162,28.2,0.47,77,26,36.2,220,19,1,7,35,Pluie,1218,15.91
OBS_00059,59,Sud-Kivu,32,31.8,0.707,60,207,12.5,240,19,0,5,80,Seche,9943,33.33
OBS_00060,60,Nord-Ubangi,56,18.9,0.248,77,18,8.7,250,11,1,3,42,Seche,7376,16.8
OBS_00061,61,Sud-Ubangi,42,21.8,0.355,55,55,54.4,210,4,0,10,3,Seche,1705,1.43
OBS_00062,62,Mongala,37,22.2,0.113,64,415,19.6,360,32,1,7,41,Seche,1333,11.39
OBS_00063,63,Ituri,159,25.8,0.378,61,290,38.5,280,67,0,6,22,Pluie,5294,7.86
OBS_00064,64,Sankuru,104,29.5,0.661,63,37,40.6,170,45,1,5,10,Pluie,6136,5.88
OBS_00065,65,Maniema,183,25.2,0.443,58,16,14.3,290,11,1,7,106,Pluie,5963,36.55
OBS_00066,66,Mongala,157,24.8,0.39,73,79,7.7,210,18,1,7,65,Pluie,2049,30.95
OBS_00067,67,Ituri,249,21.3,0.517,76,314,55.5,230,22,1,5,88,Pluie,3724,38.26
